#SOD  ENT-GPS
    0        nan
   50   -1.50657
  100   -1.50265
  150   -1.50657
  200   -1.50882
  250   -1.49872
  300   -1.49323
  350   -1.49872
  400   -1.49323
  450   -1.49872
  500   -1.50158
  550   -1.50443
  600   -1.50550
  650   -1.50657
  700   -1.50882
  750   -1.52728
  800   -1.54430
  850   -1.55370
  900   -1.56505
  950   -1.57596
 1000   -1.58679
 1050   -1.59130
 1100   -1.60304
 1150   -1.61515
 1200   -1.62782
 1250   -1.63131
 1300   -1.65327
 1350   -1.67716
 1400   -1.69285
 1450   -1.70193
 1500   -1.71159
 1550   -1.74380
 1600   -1.74916
 1650   -1.76240
 1700   -1.77941
 1750   -1.79047
 1800   -1.79047
 1850   -1.79047
 1900   -1.79723
 1950   -1.82326
 2000   -1.82326
 2050   -1.82326
 2100   -1.81997
 2150   -1.81753
 2200   -1.81565
 2250   -1.81531
 2300   -1.81531
 2350   -1.81531
 2400   -1.81531
 2450   -1.81531
 2500   -1.81453
 2550   -1.81400
 2600   -1.81323
 2650   -1.81279
 2700   -1.81146
 2750   -1.80658
 2800   -1.80184
 2850   -1.79334
 2900   -1.79245
 2950   -1.79155
 3000   -1.79047
 3050   -1.78938
 3100   -1.78938
 3150   -1.78938
 3200   -1.78720
 3250   -1.78510
 3300   -1.78510
 3350   -1.78510
 3400   -1.78736
 3450   -1.78736
 3500   -1.80954
 3550   -1.80670
 3600   -1.80500
 3650   -1.80482
 3700   -1.80464
 3750   -1.80460
 3800   -1.80658
 3850   -1.80460
 3900   -1.80464
 3950   -1.80160
 4000   -1.80184
 4050   -1.80028
 4100   -1.79920
 4150   -1.79736
 4200   -1.79723
 4250   -1.79500
 4300   -1.79334
 4350   -1.79204
 4400   -1.79334
 4450   -1.79334
 4500   -1.79500
 4550   -1.79736
 4600   -1.80136
 4650   -1.80412
 4700   -1.80437
 4750   -1.80464
 4800   -1.80600
 4850   -1.80658
 4900   -1.80658
 4950   -1.80658
 5000   -1.80930
 5050   -1.80940
 5100   -1.80969
 5150   -1.81144
 5200   -1.81166
 5250   -1.81234
 5300   -1.81166
 5350   -1.81144
 5400   -1.80969
 5450   -1.80969
 5500   -1.80969
